"責任","せきにん","duty, responsibility (incl. supervision of staff); liability, onus"
"奇怪","きかい, きっかい","strange, wonderful, weird, outrageous, mysterious"
"停止","ていし, ちょうじ","stoppage, coming to a stop, halt, standstill; ceasing (movement, activity, etc.), suspension (of operations), interruption (e.g. of electricity supply), cutting off; suspension (of payment, a licence, etc.), (temporary) prohibition, ban; suspension of music, dance, etc. as a sign of mourning for a prominent person"
"説得","せっとく","persuasion"
"眩しい","まぶしい, まぼしい","dazzling, radiant"
"","メンバー, メンバ","member, participant, attendee, lineup (sport)"
"飼う","かう","to keep (a pet or other animal), to have, to own, to raise, to rear, to feed"
"惨め","みじめ","miserable, wretched, unhappy, sad, pitiable"
"俄かに","にわかに","suddenly, abruptly, unexpectedly"
"","レース","race"
"財布","さいふ","wallet, purse, coin purse, billfold, pocketbook"
"片方","かたほう","one side, one party, the other side, the other party; one (of a pair), the other (one), the mate, the fellow"
"先日","せんじつ","the other day, a few days ago"
"揺する","ゆする","to shake, to jolt, to rock (cradle), to swing; to blackmail, to extort, to shake down"
"目つき","めつき","look (in someone's eyes), expression (of the eyes), eyes"
"接する","せっする","to touch, to come in contact with, to border on, to adjoin, to be adjacent, to be close; to receive (e.g. visitor), to attend to, to serve, to take care of, to look after, to act towards, to deal with, to see; to receive (news), to get, to hear; to encounter, to come across; to be tangent to; to make touch, to bring into contact with, to bring adjacent to, to bring close, to connect"
"職人","しょくにん","craftsman, artisan, tradesman, worker, workman"
"","ピアノ, ピヤノ","piano (instrument); piano (dynamic)"
"乳房","ちぶさ, にゅうぼう","breast, udder"
"切り","きり","end, finish, place to stop; bound, limit, end; delivery date (of a futures contract); finale (of a noh song), end of an act (in jōruri or kabuki), final performance of the day (in vaudeville); trump card; king (court card; in mekuri karuta and unsun karuta); counter for slices (esp. thick slices), counter for cuts (of fish, meat, etc.); only, just; (ever) since, after; continuously, remaining (in a particular state)"
"説く","とく","to explain, to preach, to advocate; to persuade, to prevail upon, to reason with, to urge (someone to do)"
"手術","しゅじゅつ, しゅずつ","surgery, operation, procedure; skill with one's hands, sleight of hand"
"大好き","だいすき","liking very much, loving (something or someone), adoring, being very fond of"
"課","か","lesson; section (in an organization), division, department; counter for lessons and chapters (of a book)"
"精神的","せいしんてき","mental, spiritual, emotional"
"儲ける","もうける","to profit, to get, to earn, to gain; to have (bear, beget) a child; to have a stroke of luck"
"倉庫","そうこ","storehouse, warehouse, godown"
"叫び声","さけびごえ","shout, yell, scream, cry"
"父さん","とうさん","father, dad, papa, pa, pop, daddy, dada"
"英雄","えいゆう","hero, heroine, great person; Eroica Symphony (Beethoven, 1804); Heroic Polonaise (Chopin)"
"保証","ほしょう","guarantee, security, assurance, pledge; warranty"
"お帰り","おかえり","return; welcome home"
"寝台","しんだい, ねだい","bed, couch"
"好意","こうい","kindness, favor, favour, friendliness; goodwill, affection, liking (for someone), love"
"浅い","あさい","shallow, superficial; slight (wound), light (sleep), pale (colour), inadequate (knowledge); short (time), early, young"
"携帯","けいたい, ケータイ, ケイタイ","carrying (on one's person or in the hand); mobile phone, cell phone"
"球","きゅう","sphere, globe, ball, bulb; ball, sphere; counter for pitches"
"出口","でぐち","exit, way out; outlet, vent"
"","ラジオ, ラヂオ","radio"
"情けない","なさけない, なっさけない","miserable, pitiable, shameful, deplorable, pathetic"
"役割","やくわり","part, assigning (allotment of) parts, role, duties"
"絹","きぬ","silk"
"警視庁","けいしちょう","Metropolitan Police Department"
"女の人","おんなのひと","woman"
"予て","かねて","previously, already, for some time, for quite a while"
"勢力","せいりょく","influence, power, might, strength, potency, force, energy"
"発展","はってん","development, growth, expansion, extension, flourishing; development (of a situation, story, etc.), advancement, progression, unfolding; playing around (sexually; esp. of a male homosexual), having an active sex life"
"","ロビー","lobby, lounge"
"疲労","ひろう","fatigue, weariness, exhaustion, tiredness; fatigue (of metal, etc.)"
"支払う","しはらう","to pay"
"学問","がくもん","study, scholarship, learning, education, knowledge; discipline, branch of learning, (a) science"
"","モデル","model, dummy, mock-up; model (profession), fashion model; model (of a vehicle, machine, etc.), version; model (e.g. mathematical); model (for a fictional character, place, etc.), inspiration; model (in model theory)"
"喋る","しゃべる","to talk, to chat, to chatter"
"縋る","すがる","to cling to, to hang onto; to rely on, to depend on; to implore, to entreat"
"柔らかい","やわらかい","soft, tender, supple, flexible, limber, limp; gentle, mild, soft, mellow; light (topic, book, etc.), informal; flexible (thinking, mind, etc.), malleable, adaptable"
"治療","ちりょう, じりょう","(medical) treatment, care, therapy, cure, remedy"
"軽蔑","けいべつ","contempt, scorn, disdain, despising, looking down on, slighting"
"疾っくに","とっくに","long ago, a long time ago, already"
"批判","ひはん","criticism, judgement, judgment, comment"
"取れる","とれる","to come off (of a button, handle, lid, etc.); to go away (of a fever, pain, swelling, etc.), to disappear, to come out (of a stain), to come off (e.g. of dust), to be removed (e.g. of wrinkles); to be harvested, to be picked, to be produced, to be caught (of fish), to be obtained, to be extracted; to be interpreted (as), to be taken (as), to be understood (as), to be read (as); to be attained (of balance, harmony, etc.), to be achieved; to be able to get, to be able to obtain, to be able to secure, to be able to win, to be able to catch"
"人目","ひとめ, じんもく","(public) notice, attention, public eye, public gaze"
"日曜日","にちようび","Sunday"
"病人","びょうにん","sick person, patient, invalid"
"惚れる","ほれる","to fall in love (with), to fall for, to become enamored (with), to be taken (with); to be attracted (by), to be charmed (by), to be captivated (by), to be impressed (by), to admire; to forget oneself, to be entranced (by)"
"引き受ける","ひきうける","to take on, to undertake, to accept, to take charge of, to assume responsibility for; to take over, to inherit; to guarantee, to vouch for; to contract (a disease)"
"眠い","ねむい","sleepy, drowsy, somnolent"
"辛うじて","かろうじて","barely, narrowly, only just, with difficulty"
"選択","せんたく, せんだく","choice, selection, option"
"放送","ほうそう","broadcasting, broadcast, program, announcement"
"持ち上げる","もちあげる","to elevate, to raise, to lift up; to flatter, to extol, to praise to the sky"
"吐き出す","はきだす, ほきだす","to vomit, to spit out; to breathe out (e.g. air), to exhale, to blow out, to spew out (e.g. smoke), to belch out, to emit, to disgorge (e.g. passengers); to spend (e.g. saved money), to cough up; to give vent to (e.g. pent-up feelings), to let out; to output, to export"
"増し","まし, マシ","better, preferable, less objectionable, least-worst; more, increase, extra; increase, growth"
"","パッと, ぱっと, パっと","suddenly, in a flash, quickly, rapidly, swiftly, nimbly; conspicuously, prominently, showily, attractively, impressively"
"面する","めんする","to face on, to look out on to"
"","しようとする","to try to do, to attempt to do"
"食らう","くらう","to eat, to drink, to wolf, to knock back; to receive (e.g. a blow); to be on the receiving end (of something undesirable), to undergo (trouble)"
"見つめる","みつめる","to stare (at), to gaze (at), to look hard (at), to watch intently, to fix one's eyes (on)"
"尽きる","つきる","to be used up, to be run out, to be exhausted, to be consumed, to come to an end"
"長い間","ながいあいだ","long time, long interval, for quite some time"
"関係者","かんけいしゃ","person concerned, people involved (in an event), those concerned, staff"
"一発","いっぱつ","one shot, one charge, one explosion; one blow, one punch; home run; one try, one attempt; win on the first go-around after calling rīchi"
"申し出る","もうしでる","to offer, to propose, to suggest, to put forward, to request, to ask (for), to apply (for), to report (to), to notify"
"盛ん","さかん","prosperous, flourishing, thriving, successful; popular, widespread; active, lively, energetic, vigorous, brisk, strong; enthusiastic, eager, hearty, frequent, repeated"
"学","がく","learning, scholarship, study, erudition, knowledge, education; study of ..., -ology, -ics"
